scenario_family,seed,od_id,decision_step,condition_id,failure_type,difference,stress_case,policy
moving_center,9206,OD08,4.0,C03_water_stale,stale_source_induced_bad_route,0.04702348933371042,,
moving_center,9206,OD08,4.0,C06_asynchronous,multisource_worse_than_rain_only,0.04702348933371042,,
moving_center,9206,OD08,4.0,C06_asynchronous,stale_source_induced_bad_route,0.04702348933371042,,
moving_center,9206,OD08,4.0,C07_disagreement,multisource_worse_than_rain_only,0.04704819950931288,,
moving_center,9207,OD05,8.0,C07_disagreement,multisource_worse_than_rain_only,0.015331092353232822,,
moving_center,9207,OD06,4.0,C00_clean,multisource_worse_than_rain_only,0.02315459666153713,,
moving_center,9207,OD06,4.0,C01_typical,multisource_worse_than_rain_only,0.02315459666153713,,
moving_center,9207,OD06,4.0,C07_disagreement,multisource_worse_than_rain_only,0.02315459666153713,,
moving_center,9207,OD07,4.0,C00_clean,multisource_worse_than_rain_only,0.022767061418553725,,
moving_center,9207,OD07,4.0,C01_typical,multisource_worse_than_rain_only,0.022767061418553725,,
moving_center,9207,OD07,4.0,C02_degraded,multisource_worse_than_rain_only,0.023115169185117856,,
moving_center,9207,OD07,4.0,C07_disagreement,multisource_worse_than_rain_only,0.022767061418553725,,
moving_center,9208,OD06,4.0,C00_clean,multisource_worse_than_rain_only,0.023271168804842646,,
moving_center,9208,OD06,4.0,C01_typical,multisource_worse_than_rain_only,0.023271168804842646,,
moving_center,9208,OD06,4.0,C07_disagreement,multisource_worse_than_rain_only,0.023271168804842646,,
moving_center,9208,OD06,8.0,C05_rain_stale,multisource_worse_than_rain_only,0.010658768706035715,,
moving_center,9208,OD07,4.0,C00_clean,multisource_worse_than_rain_only,0.023008931117866838,,
moving_center,9208,OD07,4.0,C01_typical,multisource_worse_than_rain_only,0.023008931117866838,,
moving_center,9208,OD07,4.0,C07_disagreement,multisource_worse_than_rain_only,0.023008931117866838,,
