scenario_family,seed,comparison,mean_difference
moving_center,9207,S5_v2_reliability_source_specific-minus-rain,0.001154405151524207
moving_center,9207,S6_perfect_water_v2-minus-rain,0.004452356811633307
moving_center,9207,reliability-minus-naive,-0.0026431449759288794
moving_center,9207,source_specific-minus-universal,-0.00012631032758136929
moving_center,9208,S2_v1_redundant_naive-minus-rain,0.003754485901113991
moving_center,9208,S3_v2_local_naive-minus-rain,0.003754485901113991
moving_center,9208,S4_v2_reliability_universal-minus-rain,0.001456092935541553
moving_center,9208,S5_v2_reliability_source_specific-minus-rain,0.0010313487511921515
moving_center,9208,S6_perfect_water_v2-minus-rain,0.004515782526033463
moving_center,9208,reliability-minus-naive,-0.0027231371499218393
moving_center,9208,source_specific-minus-universal,-0.00042474418434940153
moving_center,9209,S2_v1_redundant_naive-minus-rain,0.006653446308978295
moving_center,9209,S3_v2_local_naive-minus-rain,0.006653446308978295
moving_center,9209,S4_v2_reliability_universal-minus-rain,0.0028050028662808257
moving_center,9209,S5_v2_reliability_source_specific-minus-rain,0.002496510789853301
moving_center,9209,S6_perfect_water_v2-minus-rain,0.007877189857247668
moving_center,9209,reliability-minus-naive,-0.0041569355191249935
moving_center,9209,source_specific-minus-universal,-0.0003084920764275245
moving_center,9210,S2_v1_redundant_naive-minus-rain,0.006483307969385621
moving_center,9210,S3_v2_local_naive-minus-rain,0.006483307969385621
moving_center,9210,S4_v2_reliability_universal-minus-rain,0.0024897130340025275
moving_center,9210,S5_v2_reliability_source_specific-minus-rain,0.0022404131834200536
moving_center,9210,S6_perfect_water_v2-minus-rain,0.007441104961389278
moving_center,9210,reliability-minus-naive,-0.0042428947859655675
moving_center,9210,source_specific-minus-universal,-0.00024929985058247395
moving_center,9211,S2_v1_redundant_naive-minus-rain,0.003731727911360061
moving_center,9211,S3_v2_local_naive-minus-rain,0.003731727911360061
moving_center,9211,S4_v2_reliability_universal-minus-rain,0.0012826215895347381
moving_center,9211,S5_v2_reliability_source_specific-minus-rain,0.0009510707963302223
moving_center,9211,S6_perfect_water_v2-minus-rain,0.004779751849058156
moving_center,9211,reliability-minus-naive,-0.0027806571150298387
moving_center,9211,source_specific-minus-universal,-0.00033155079320451586
moving_center,9212,S2_v1_redundant_naive-minus-rain,0.006699271631197323
moving_center,9212,S3_v2_local_naive-minus-rain,0.006699271631197323
moving_center,9212,S4_v2_reliability_universal-minus-rain,0.003908775019118349
moving_center,9212,S5_v2_reliability_source_specific-minus-rain,0.0027734910799471213
moving_center,9212,S6_perfect_water_v2-minus-rain,0.00753370797185432
moving_center,9212,reliability-minus-naive,-0.003925780551250202
moving_center,9212,source_specific-minus-universal,-0.0011352839391712277
