scenario_family,seed,stress_case,od_id,policy,mean_truth_exposure,planner_calls,route_change_count,missed_useful_replan,unnecessary_replan,route_oscillation
anisotropic_band,9201,water_gradually_stale,OD01,always,0.44757143435100893,12,2,False,True,False
anisotropic_band,9201,water_gradually_stale,OD01,triggered,0.44733075166320496,1,0,False,False,False
anisotropic_band,9201,water_gradually_stale,OD02,never,0.4242679161960887,1,0,False,False,False
anisotropic_band,9201,water_gradually_stale,OD02,always,0.397360510322973,12,3,False,True,False
anisotropic_band,9201,water_gradually_stale,OD02,triggered,0.3995055509401098,3,1,False,False,False
anisotropic_band,9201,water_block_outage,OD01,never,0.44733075166320496,1,0,False,False,False
anisotropic_band,9201,water_block_outage,OD01,always,0.4518143165482547,12,4,False,True,False
anisotropic_band,9201,water_block_outage,OD01,triggered,0.44733075166320496,1,0,False,False,False
anisotropic_band,9201,water_block_outage,OD02,never,0.4242679161960887,1,0,False,False,False
anisotropic_band,9201,water_block_outage,OD02,always,0.397360510322973,12,3,False,True,False
anisotropic_band,9201,water_block_outage,OD02,triggered,0.3995055509401098,3,1,False,False,False
anisotropic_band,9201,water_recovery,OD01,never,0.44733075166320496,1,0,False,False,False
anisotropic_band,9201,water_recovery,OD01,always,0.45565053772158554,12,4,False,True,True
anisotropic_band,9201,water_recovery,OD01,triggered,0.44733075166320496,1,0,False,False,False
anisotropic_band,9201,water_recovery,OD02,never,0.4242679161960887,1,0,False,False,False
anisotropic_band,9201,water_recovery,OD02,always,0.3975917796326371,12,4,False,True,False
anisotropic_band,9201,water_recovery,OD02,triggered,0.4003959889284952,2,1,False,False,False
anisotropic_band,9201,rain_stale_water_fresh,OD01,never,0.4657690956424396,1,0,False,False,False
anisotropic_band,9201,rain_stale_water_fresh,OD01,always,0.458755488015788,12,3,False,True,False
anisotropic_band,9201,rain_stale_water_fresh,OD01,triggered,0.4657690956424396,1,0,False,False,False
anisotropic_band,9201,rain_stale_water_fresh,OD02,never,0.4242679161960887,1,0,False,False,False
anisotropic_band,9201,rain_stale_water_fresh,OD02,always,0.42136627131190335,12,3,False,True,False
anisotropic_band,9201,rain_stale_water_fresh,OD02,triggered,0.4242679161960887,1,0,False,False,False
anisotropic_band,9201,water_stale_rain_fresh,OD01,never,0.44733075166320496,1,0,False,False,False
anisotropic_band,9201,water_stale_rain_fresh,OD01,always,0.44757143435100893,12,2,False,True,False
anisotropic_band,9201,water_stale_rain_fresh,OD01,triggered,0.44733075166320496,1,0,False,False,False
anisotropic_band,9201,water_stale_rain_fresh,OD02,never,0.4242679161960887,1,0,False,False,False
anisotropic_band,9201,water_stale_rain_fresh,OD02,always,0.397360510322973,12,3,False,True,False
anisotropic_band,9201,water_stale_rain_fresh,OD02,triggered,0.3995055509401098,3,1,False,False,False
anisotropic_band,9201,sources_disagreement,OD01,never,0.44733075166320496,1,0,False,False,False
anisotropic_band,9201,sources_disagreement,OD01,always,0.456944680441235,12,2,False,True,False
anisotropic_band,9201,sources_disagreement,OD01,triggered,0.44733075166320496,1,0,False,False,False
anisotropic_band,9201,sources_disagreement,OD02,never,0.4242679161960887,1,0,False,False,False
anisotropic_band,9201,sources_disagreement,OD02,always,0.3999555715884679,12,5,False,True,True
anisotropic_band,9201,sources_disagreement,OD02,triggered,0.3995055509401098,2,1,False,False,False
moving_center,9206,rain_down_water_high,OD01,never,0.38000569667344414,1,0,False,False,False
moving_center,9206,rain_down_water_high,OD01,always,0.3598483252506504,12,4,False,True,False
moving_center,9206,rain_down_water_high,OD01,triggered,0.3978592124026353,2,1,True,False,False
moving_center,9206,rain_down_water_high,OD02,never,0.36363893933717323,1,0,False,False,False
moving_center,9206,rain_down_water_high,OD02,always,0.35886866377215915,12,2,False,True,False
