scenario_family,seed,method,truth_exposure,distance_m,max_truth_risk,p95_truth_risk,high_risk_length_ratio,rain_effective_weight_mean,water_effective_weight_mean,water_effective_weight_p90,fallback_fraction,low_reliability_water_usage,source_disagreement_fraction
anisotropic_band,9209,S3_v2_local_naive,0.4546907268413164,11084.828696816365,0.6290101175491198,0.593049362167617,0.0752390222786817,,,0.0,,0.0,0.0
anisotropic_band,9209,S4_v2_reliability_universal,0.45287748834834973,11159.869617419045,0.6301488116992415,0.5947096771363216,0.07155702186895183,0.9209849301416003,0.2623338986044607,0.7107587250097432,0.0,0.31894096649810183,0.8055055935432801
anisotropic_band,9209,S5_v2_reliability_source_specific,0.453164352368864,11135.257887899188,0.6294069706705004,0.5938476086234804,0.07304709344340866,0.9209849301416142,0.19160884739453363,0.5271234158818733,0.0,0.30915437880999336,0.7945146805286704
anisotropic_band,9210,S0_shortest,0.4668198896188428,10950.795041533209,0.6334550234873341,0.6040777966506861,0.09286347180887711,,,0.0,,0.0,0.0
anisotropic_band,9210,S1_rain_only,0.4511182711665398,11129.48113113333,0.6283066979862633,0.5955960470776287,0.07199901725635552,,,0.0,,0.0,0.0
anisotropic_band,9210,S2_v1_redundant_naive,0.4530603283154446,11083.997256863198,0.6299407488782508,0.5950151575953343,0.07200354384919475,,,0.0,,0.0,0.0
anisotropic_band,9210,S3_v2_local_naive,0.45306828659209647,11083.45594831605,0.6299407488782508,0.5951678229303431,0.07200358890035083,,,0.0,,0.0,0.0
anisotropic_band,9210,S4_v2_reliability_universal,0.451327170022777,11160.769649147329,0.6297469861313251,0.5960019320108266,0.07161590274822073,0.920984930141596,0.260205121068303,0.703038839015473,0.0,0.31087379246681124,0.8100436637327065
anisotropic_band,9210,S5_v2_reliability_source_specific,0.4516148426251101,11137.366036448118,0.6291662551867181,0.5959198659534785,0.07197337477526673,0.9209849301416426,0.1912265522956717,0.5181740952198235,0.0,0.3030882261324026,0.7997201700006233
anisotropic_band,9211,S0_shortest,0.46712763432040694,10950.795041533209,0.6320000417178377,0.6012734747334937,0.09120125365972159,,,0.0,,0.0,0.0
anisotropic_band,9211,S1_rain_only,0.45175003427287086,11115.70299172713,0.626715522541951,0.5927766637205228,0.07192355299047058,,,0.0,,0.0,0.0
anisotropic_band,9211,S2_v1_redundant_naive,0.4532783123779394,11086.32852236363,0.6277138016536838,0.5924391805181554,0.07192246353454207,,,0.0,,0.0,0.0
anisotropic_band,9211,S3_v2_local_naive,0.45323414184197697,11086.852492143773,0.6277138016536838,0.5924391805181554,0.07192246353454207,,,0.0,,0.0,0.0
anisotropic_band,9211,S4_v2_reliability_universal,0.4520107332287957,11150.351754205984,0.629264861346151,0.5947437810986,0.07109649362629063,0.9209849301416059,0.2626890736379895,0.7204933822776723,0.0,0.3147746461173937,0.8129412521258498
anisotropic_band,9211,S5_v2_reliability_source_specific,0.45193779979593446,11134.451622304607,0.627876645829497,0.5937059563171132,0.07132949488053489,0.9209849301416161,0.1915995956207138,0.5207088363451691,0.0,0.3041562575612597,0.8011875345531736
anisotropic_band,9212,S0_shortest,0.4663806819925166,10950.795041533209,0.6320303186498748,0.6013924116361723,0.09202997976472937,,,0.0,,0.0,0.0
anisotropic_band,9212,S1_rain_only,0.4511863014623941,11115.70299172713,0.6272293833800417,0.5914997504577095,0.07178034425816703,,,0.0,,0.0,0.0
anisotropic_band,9212,S2_v1_redundant_naive,0.4526600038472748,11084.450633797676,0.6291932807463695,0.5915633510693391,0.07177400084232237,,,0.0,,0.0,0.0
anisotropic_band,9212,S3_v2_local_naive,0.45265198323665184,11084.496692641847,0.6291932807463695,0.5915633510693391,0.07176952502659784,,,0.0,,0.0,0.0
anisotropic_band,9212,S4_v2_reliability_universal,0.45017494683172865,11169.590214389184,0.6290406271743627,0.5934211625206168,0.07101478090273448,0.9209849301415884,0.2548483187407159,0.7074107650598462,0.0,0.30968816407890837,0.8102097884697992
anisotropic_band,9212,S5_v2_reliability_source_specific,0.45053291982525284,11144.962486208218,0.6281739746582748,0.5922503825393256,0.07158551420859968,0.9209849301416159,0.18608798347761485,0.5189184743119408,0.0,0.3006820966428353,0.8000351915483493
dual_center,9201,S0_shortest,0.48514111464685084,10950.795041533209,0.6227483896565186,0.5937739036279573,0.11425941799019439,,,0.0,,0.0,0.0
dual_center,9201,S1_rain_only,0.45251243986434575,11242.229964040313,0.5891933748962189,0.5546020214310965,0.0583948983244103,,,0.0,,0.0,0.0
dual_center,9201,S2_v1_redundant_naive,0.45497356275133294,11165.913746739312,0.5939479890309914,0.5598611951287674,0.06012274635605719,,,0.0,,0.0,0.0
dual_center,9201,S3_v2_local_naive,0.45488958668958573,11165.938901737294,0.5935521051484081,0.5596598572165519,0.06012274635605719,,,0.0,,0.0,0.0
dual_center,9201,S4_v2_reliability_universal,0.45401069178266784,11207.462565262493,0.5919668438069151,0.5578159828775885,0.06218979792252785,0.9209849301417307,0.23882189446239602,0.6629831700493124,0.0,0.3064442389415832,0.7574168948427751
dual_center,9201,S5_v2_reliability_source_specific,0.4539303646113118,11208.397012340934,0.591792641304923,0.5575812401943655,0.06219025844980086,0.9209849301417271,0.17487221652517984,0.4901599034892822,0.0,0.30352388200529656,0.758488209719982
dual_center,9202,S0_shortest,0.4856297626201573,10950.795041533209,0.6237643213089366,0.5939623515361699,0.10930193495338326,,,0.0,,0.0,0.0
dual_center,9202,S1_rain_only,0.45338452366332627,11242.229964040313,0.5897098384279388,0.5548607392374562,0.06005918424234494,,,0.0,,0.0,0.0
dual_center,9202,S2_v1_redundant_naive,0.45431935086853065,11212.24840559356,0.5914535893595568,0.5568549463550948,0.06024366917905695,,,0.0,,0.0,0.0
dual_center,9202,S3_v2_local_naive,0.45433118119174193,11212.11367360817,0.5914535893595568,0.5568549463550948,0.06024439187381121,,,0.0,,0.0,0.0
dual_center,9202,S4_v2_reliability_universal,0.45445866014009717,11222.742578459958,0.5917914692364787,0.5573510036497672,0.06309711676242699,0.9209849301417327,0.23738546176500447,0.6664703822449607,0.0,0.3072661923729669,0.7637743422104428
dual_center,9202,S5_v2_reliability_source_specific,0.454282317022112,11228.018757750739,0.5913760550558637,0.556815031593391,0.06235024282725162,0.9209849301417268,0.17615469531520384,0.4986862452132015,0.0,0.30554883017566964,0.7646514292155648
dual_center,9203,S0_shortest,0.48332649734835437,10950.795041533209,0.6228360161722535,0.5937874162439738,0.10849043247466067,,,0.0,,0.0,0.0
dual_center,9203,S1_rain_only,0.45082138363713165,11242.229964040313,0.5904984033380831,0.5547065130899148,0.060441279395109015,,,0.0,,0.0,0.0
