case_category,u,v,key,rain_truth,water_truth,planner_rain_component,planner_water_component,rain_only_risk,fusion_risk,edge_cost,selected_by_rain_route,selected_by_perfect_route,rain_risk_rank,fusion_risk_rank,risk_rank_change
worse,1116420116,5445976849,0,0.6447517656776016,0.12795323,0.35461347112268093,0.025590647,0.6486388683658041,0.5618579288606178,118.46827121805354,True,False,67.0,63.0,-4.0
worse,1116420155,793893694,0,0.6447517656776016,0.12975052,0.35461347112268093,0.025950104,0.6904282119729199,0.5969819299759201,799.7415575235432,True,False,48.0,46.0,-2.0
worse,1116448402,1116448658,0,0.687561834224007,0.06595497,0.37815900882320386,0.013190994,0.749277819710397,0.6353906778142049,281.0253081076067,True,False,21.0,22.0,1.0
worse,1116448484,5178935334,0,0.2894268323158654,0.024520783,0.15918475777372598,0.0049041566,0.4715125433204031,0.3970139165593068,347.24391272378676,False,True,121.0,124.0,3.0
worse,1116448608,5178935331,0,0.2894268323158654,0.025026863,0.15918475777372598,0.0050053727,0.5303991038801842,0.4461703971402987,28.69839907503652,True,True,102.0,105.0,3.0
worse,1116448658,8349563473,0,0.687561834224007,0.066579625,0.37815900882320386,0.013315925,0.7054117292788626,0.5989397119008006,323.2462258428163,True,False,42.0,44.0,2.0
worse,1116458607,2537806912,0,0.18334099630534223,0.017679716,0.10083754796793823,0.003535943,0.4904580664816163,0.4116616746561943,39.301979368303066,True,True,115.0,116.0,1.0
worse,1116458621,1116458636,0,0.06386029785175784,0.011665239,0.035123163818466814,0.0023330478,0.387086037053352,0.32451590404426506,712.0031444525035,True,True,154.0,156.0,2.0
worse,1116458636,2537806920,0,0.03625802082324096,0.010616015,0.01994191145278253,0.002123203,0.41233119283009717,0.34537866314367416,40.17762392199062,True,True,141.0,143.0,2.0
worse,1116458649,1116458621,0,0.11154903494358033,0.013972553,0.06135196921896919,0.0027945107,0.37957805890253504,0.3186438079895354,344.06785755925944,True,True,159.0,160.0,1.0
worse,1117053912,13384556533,0,0.09907813375680274,0.055870704,0.05449297356624151,0.011174141,0.4346812553974678,0.3715461635566991,536.457276180081,False,True,133.0,134.0,1.0
worse,1117053964,1117054200,0,0.09907813375680274,0.05678116,0.05449297356624151,0.011356233,0.43184151518186303,0.36933145624763747,23.3825474115045,False,True,134.0,135.0,1.0
worse,1117053976,5394800699,0,0.03450756837307632,0.021003371,0.018979162605191977,0.004200674,0.2774284260348522,0.23469091687980986,477.52850198792385,True,False,175.0,175.0,0.0
worse,1117054015,1117053964,0,0.09907813375680274,0.056288414,0.05449297356624151,0.011257683,0.4387286652270434,0.3749886233064431,34.28002559083725,False,True,130.0,131.0,1.0
worse,1117054200,1117053912,0,0.09907813375680274,0.05663013,0.05449297356624151,0.011326026,0.43089062869024886,0.36851387905141225,754.52559817165,False,True,135.0,136.0,1.0
worse,1236299315,278660437,0,0.7634243645747211,0.12584841,0.4198834005160966,0.025169684,0.655104188021725,0.5668948921037263,1162.3865482064602,True,False,60.0,60.0,0.0
worse,1236299538,2397987743,0,0.6447517656776016,0.1329607,0.35461347112268093,0.026592141,0.6666551643561671,0.5777060881216782,233.88166011463315,True,False,57.0,54.0,-3.0
