scenario_family,seed,decision_step,timestamp,od_id,route_changed,route_overlap,rain_only_truth_exposure,perfect_water_truth_exposure,difference,global_edge_risk_rank_spearman
anisotropic_band,8104,4,2023-09-07 13:00:00+08:00,OD07,True,0.9249436157487171,0.34297311051393636,0.343388448223331,0.00041533770939461423,0.9995079989413453
anisotropic_band,8104,4,2023-09-07 13:00:00+08:00,OD08,False,1.0,0.4555365348573713,0.4555365348573713,0.0,0.9995079989413453
anisotropic_band,8104,8,2023-09-07 14:00:00+08:00,OD01,False,1.0,0.551240743083707,0.551240743083707,0.0,0.9925194586070163
anisotropic_band,8104,8,2023-09-07 14:00:00+08:00,OD02,True,0.5354455583444488,0.3672062390641241,0.3740601935585525,0.006853954494428438,0.9925194586070163
anisotropic_band,8104,8,2023-09-07 14:00:00+08:00,OD03,False,1.0,0.42447929678273844,0.42447929678273844,0.0,0.9925194586070163
anisotropic_band,8104,8,2023-09-07 14:00:00+08:00,OD04,False,1.0,0.41048002900445346,0.41048002900445346,0.0,0.9925194586070163
anisotropic_band,8104,8,2023-09-07 14:00:00+08:00,OD05,False,1.0,0.39238524988637363,0.39238524988637363,0.0,0.9925194586070163
anisotropic_band,8104,8,2023-09-07 14:00:00+08:00,OD06,True,0.6810150847608241,0.6151357498315878,0.6245020809958101,0.009366331164222252,0.9925194586070163
anisotropic_band,8104,8,2023-09-07 14:00:00+08:00,OD07,False,1.0,0.5287101704134709,0.5287101704134709,0.0,0.9925194586070163
anisotropic_band,8104,8,2023-09-07 14:00:00+08:00,OD08,False,1.0,0.5008853235014902,0.5008853235014902,0.0,0.9925194586070163
anisotropic_band,8105,4,2023-09-07 13:00:00+08:00,OD01,False,1.0,0.41291916524111144,0.41291916524111144,0.0,0.9995091092464964
anisotropic_band,8105,4,2023-09-07 13:00:00+08:00,OD02,False,1.0,0.324765333796996,0.324765333796996,0.0,0.9995091092464964
anisotropic_band,8105,4,2023-09-07 13:00:00+08:00,OD03,False,1.0,0.38443376530431755,0.38443376530431755,0.0,0.9995091092464964
anisotropic_band,8105,4,2023-09-07 13:00:00+08:00,OD04,False,1.0,0.43612543822423466,0.43612543822423466,0.0,0.9995091092464964
anisotropic_band,8105,4,2023-09-07 13:00:00+08:00,OD05,False,1.0,0.4067092066731062,0.4067092066731062,0.0,0.9995091092464964
anisotropic_band,8105,4,2023-09-07 13:00:00+08:00,OD06,False,1.0,0.45033185175864066,0.45033185175864066,0.0,0.9995091092464964
anisotropic_band,8105,4,2023-09-07 13:00:00+08:00,OD07,True,0.9249436157487171,0.3425747705577485,0.3429926070880726,0.0004178365303241227,0.9995091092464964
anisotropic_band,8105,4,2023-09-07 13:00:00+08:00,OD08,False,1.0,0.45626642593111555,0.45626642593111555,0.0,0.9995091092464964
anisotropic_band,8105,8,2023-09-07 14:00:00+08:00,OD01,False,1.0,0.5520924285361645,0.5520924285361645,0.0,0.9927615361973688
anisotropic_band,8105,8,2023-09-07 14:00:00+08:00,OD02,False,1.0,0.3690451065139969,0.3690451065139969,0.0,0.9927615361973688
anisotropic_band,8105,8,2023-09-07 14:00:00+08:00,OD03,False,1.0,0.4247707164335173,0.4247707164335173,0.0,0.9927615361973688
anisotropic_band,8105,8,2023-09-07 14:00:00+08:00,OD04,False,1.0,0.4110266564933047,0.4110266564933047,0.0,0.9927615361973688
anisotropic_band,8105,8,2023-09-07 14:00:00+08:00,OD05,False,1.0,0.39272351003353123,0.39272351003353123,0.0,0.9927615361973688
anisotropic_band,8105,8,2023-09-07 14:00:00+08:00,OD06,False,1.0,0.623710488440988,0.623710488440988,0.0,0.9927615361973688
anisotropic_band,8105,8,2023-09-07 14:00:00+08:00,OD07,False,1.0,0.528795421682577,0.528795421682577,0.0,0.9927615361973688
anisotropic_band,8105,8,2023-09-07 14:00:00+08:00,OD08,False,1.0,0.5011077228021237,0.5011077228021237,0.0,0.9927615361973688
anisotropic_band,8106,4,2023-09-07 13:00:00+08:00,OD01,False,1.0,0.41157738427876805,0.41157738427876805,0.0,0.9995178777858069
anisotropic_band,8106,4,2023-09-07 13:00:00+08:00,OD02,False,1.0,0.3248059786298059,0.3248059786298059,0.0,0.9995178777858069
anisotropic_band,8106,4,2023-09-07 13:00:00+08:00,OD03,False,1.0,0.3828415466745568,0.3828415466745568,0.0,0.9995178777858069
anisotropic_band,8106,4,2023-09-07 13:00:00+08:00,OD04,False,1.0,0.43751259693187955,0.43751259693187955,0.0,0.9995178777858069
anisotropic_band,8106,4,2023-09-07 13:00:00+08:00,OD05,False,1.0,0.4071987505668596,0.4071987505668596,0.0,0.9995178777858069
anisotropic_band,8106,4,2023-09-07 13:00:00+08:00,OD06,False,1.0,0.45240237076947976,0.45240237076947976,0.0,0.9995178777858069
anisotropic_band,8106,4,2023-09-07 13:00:00+08:00,OD07,True,0.9249436157487171,0.34313899267855735,0.343553028210272,0.00041403553171465157,0.9995178777858069
anisotropic_band,8106,4,2023-09-07 13:00:00+08:00,OD08,False,1.0,0.4592719239241377,0.4592719239241377,0.0,0.9995178777858069
anisotropic_band,8106,8,2023-09-07 14:00:00+08:00,OD01,False,1.0,0.5536240611893266,0.5536240611893266,0.0,0.9926656862875812
anisotropic_band,8106,8,2023-09-07 14:00:00+08:00,OD02,False,1.0,0.3697920157636191,0.3697920157636191,0.0,0.9926656862875812
anisotropic_band,8106,8,2023-09-07 14:00:00+08:00,OD03,False,1.0,0.42446713823408233,0.42446713823408233,0.0,0.9926656862875812
anisotropic_band,8106,8,2023-09-07 14:00:00+08:00,OD04,False,1.0,0.4103110562541616,0.4103110562541616,0.0,0.9926656862875812
anisotropic_band,8106,8,2023-09-07 14:00:00+08:00,OD05,False,1.0,0.3922470131383513,0.3922470131383513,0.0,0.9926656862875812
anisotropic_band,8106,8,2023-09-07 14:00:00+08:00,OD06,False,1.0,0.622127886362994,0.622127886362994,0.0,0.9926656862875812
anisotropic_band,8106,8,2023-09-07 14:00:00+08:00,OD07,False,1.0,0.5298950422649553,0.5298950422649553,0.0,0.9926656862875812
anisotropic_band,8106,8,2023-09-07 14:00:00+08:00,OD08,False,1.0,0.5019644956945499,0.5019644956945499,0.0,0.9926656862875812
anisotropic_band,8107,4,2023-09-07 13:00:00+08:00,OD01,False,1.0,0.41276646953355933,0.41276646953355933,0.0,0.999512398457436
anisotropic_band,8107,4,2023-09-07 13:00:00+08:00,OD02,False,1.0,0.32474568740963783,0.32474568740963783,0.0,0.999512398457436
anisotropic_band,8107,4,2023-09-07 13:00:00+08:00,OD03,False,1.0,0.38391267772826115,0.38391267772826115,0.0,0.999512398457436
anisotropic_band,8107,4,2023-09-07 13:00:00+08:00,OD04,False,1.0,0.4366627594171198,0.4366627594171198,0.0,0.999512398457436
anisotropic_band,8107,4,2023-09-07 13:00:00+08:00,OD05,False,1.0,0.4058088565772137,0.4058088565772137,0.0,0.999512398457436
anisotropic_band,8107,4,2023-09-07 13:00:00+08:00,OD06,False,1.0,0.44997676647642515,0.44997676647642515,0.0,0.999512398457436
anisotropic_band,8107,4,2023-09-07 13:00:00+08:00,OD07,True,0.9249436157487171,0.3428323080401292,0.3432477841640933,0.00041547612396408695,0.999512398457436
anisotropic_band,8107,4,2023-09-07 13:00:00+08:00,OD08,False,1.0,0.455289266047596,0.455289266047596,0.0,0.999512398457436
anisotropic_band,8107,8,2023-09-07 14:00:00+08:00,OD01,False,1.0,0.5498850870935412,0.5498850870935412,0.0,0.9926096891267915
anisotropic_band,8107,8,2023-09-07 14:00:00+08:00,OD02,True,0.5354455583444488,0.36769019930362234,0.3745358446459949,0.0068456453423725305,0.9926096891267915
anisotropic_band,8107,8,2023-09-07 14:00:00+08:00,OD03,False,1.0,0.42507437751795324,0.42507437751795324,0.0,0.9926096891267915
anisotropic_band,8107,8,2023-09-07 14:00:00+08:00,OD04,False,1.0,0.4116200671541027,0.4116200671541027,0.0,0.9926096891267915
anisotropic_band,8107,8,2023-09-07 14:00:00+08:00,OD05,False,1.0,0.39205753125380455,0.39205753125380455,0.0,0.9926096891267915
anisotropic_band,8107,8,2023-09-07 14:00:00+08:00,OD06,False,1.0,0.6211699165567015,0.6211699165567015,0.0,0.9926096891267915
anisotropic_band,8107,8,2023-09-07 14:00:00+08:00,OD07,False,1.0,0.5283420053087753,0.5283420053087753,0.0,0.9926096891267915
anisotropic_band,8107,8,2023-09-07 14:00:00+08:00,OD08,False,1.0,0.5005560723785539,0.5005560723785539,0.0,0.9926096891267915
anisotropic_band,8108,4,2023-09-07 13:00:00+08:00,OD01,False,1.0,0.41326470615611904,0.41326470615611904,0.0,0.9994986254906306
anisotropic_band,8108,4,2023-09-07 13:00:00+08:00,OD02,False,1.0,0.3247723002627924,0.3247723002627924,0.0,0.9994986254906306
anisotropic_band,8108,4,2023-09-07 13:00:00+08:00,OD03,False,1.0,0.38463391395792806,0.38463391395792806,0.0,0.9994986254906306
anisotropic_band,8108,4,2023-09-07 13:00:00+08:00,OD04,False,1.0,0.4369017660773827,0.4369017660773827,0.0,0.9994986254906306
anisotropic_band,8108,4,2023-09-07 13:00:00+08:00,OD05,False,1.0,0.4071314890733864,0.4071314890733864,0.0,0.9994986254906306
anisotropic_band,8108,4,2023-09-07 13:00:00+08:00,OD06,False,1.0,0.44865969594117233,0.44865969594117233,0.0,0.9994986254906306
anisotropic_band,8108,4,2023-09-07 13:00:00+08:00,OD07,True,0.9249436157487171,0.34270016424757754,0.34311577540463173,0.0004156111570541854,0.9994986254906306
anisotropic_band,8108,4,2023-09-07 13:00:00+08:00,OD08,False,1.0,0.4556056470741387,0.4556056470741387,0.0,0.9994986254906306
