case_category,u,v,key,rain_truth,water_truth,planner_rain_component,planner_water_component,rain_only_risk,fusion_risk,edge_cost,selected_by_rain_route,selected_by_perfect_route,rain_risk_rank,fusion_risk_rank,risk_rank_change
better,2537806920,5504300011,0,0.36183231186426107,0.033623,0.1990077715253436,0.0067245997,0.5913970529040522,0.49843471054408506,49.48868715692745,True,True,77.0,79.0,2.0
better,2699955983,5999844181,0,0.3455101246933897,0.038795926,0.19003056858136436,0.007759185,0.5655531841704902,0.47776030775487893,510.7259183964101,True,True,84.0,84.0,0.0
better,2699956003,11262736358,0,0.12735856956905334,0.018362282,0.07004721326297934,0.0036724564,0.4252658837296461,0.35744861674870837,176.4360335072597,True,True,108.0,108.0,0.0
better,2708566157,11196049687,0,0.0625453875487367,0.012137837,0.03439996315180519,0.0024275675,0.36816067964330934,0.3088235391655368,147.6490857401643,True,True,115.0,115.0,0.0
better,2958627171,2958627212,0,0.4413258897121085,0.071776554,0.2427292393416597,0.014355311,0.5728935691157611,0.4893740665945437,522.6860547204794,True,True,83.0,83.0,0.0
better,2958627176,1932007728,0,0.6685972946548102,0.07993659,0.3677285120601457,0.015987318,0.6270392782663574,0.5358554962753647,328.16585892460444,True,True,66.0,65.0,-1.0
better,2958627212,2958627176,0,0.4937088639499561,0.07518682,0.2715398751724759,0.015037364,0.5349170620574499,0.4582953548542282,808.7435329213337,True,True,90.0,90.0,0.0
better,4802241932,5178935334,0,0.7344793010919004,0.07392704,0.4039636156005453,0.014785408,0.6805924023794799,0.5794815082192147,36.551443497013175,False,True,60.0,59.0,-1.0
better,4805962870,8328137574,0,0.7344793010919004,0.07273032,0.4039636156005453,0.014546064,0.7725834502178679,0.6559412614668616,297.61922920525404,True,True,27.0,28.0,1.0
better,5155815614,2708566157,0,0.0625453875487367,0.011956596,0.03439996315180519,0.0023913193,0.2866414955313769,0.24086067891210045,140.05687405103873,True,True,121.0,121.0,0.0
better,5178935331,8328222806,0,0.7344793010919004,0.071921244,0.4039636156005453,0.014384249,0.7846669514642961,0.6658760002641883,42.54529538977093,True,True,16.0,16.0,0.0
better,5178935334,2398034837,0,0.7344793010919004,0.07093301,0.4039636156005453,0.014186601,0.7569318176400539,0.6425986824840206,378.81285720160685,False,True,33.0,35.0,2.0
better,5358177319,1116458649,0,0.6586658004146028,0.041510448,0.3622661902280315,0.00830209,0.6857445600674777,0.5783722080328588,1115.8641410021125,True,True,59.0,60.0,1.0
better,5444681418,5358177319,0,0.7640812793405851,0.055952314,0.42024470363732186,0.011190463,0.7792151683156523,0.6586713593109477,132.5654467203411,True,True,21.0,23.0,2.0
better,5444683922,1116458607,0,0.7640812793405851,0.055493683,0.42024470363732186,0.011098737,0.8098652221331761,0.6841366322147984,34.825210353263145,True,True,7.0,8.0,1.0
better,5445931869,1981097744,0,0.3455101246933897,0.039229225,0.19003056858136436,0.007845845,0.5543784996654904,0.4685202872824599,220.1341494677085,True,True,86.0,86.0,0.0
better,5504300011,5504300010,0,0.36183231186426107,0.033654984,0.1990077715253436,0.006730997,0.5904018224003525,0.4976106826814191,52.56811282825715,True,True,79.0,81.0,2.0
better,5594915681,11834591015,0,0.12735856956905334,0.018289769,0.07004721326297934,0.0036579538,0.37490545478085696,0.31546950716210753,201.67156199870064,True,True,114.0,114.0,0.0
better,5999844140,13939563788,0,0.3455101246933897,0.038349308,0.19003056858136436,0.007669862,0.45569548029590123,0.3861377849255045,69.32469706041357,True,True,101.0,101.0,0.0
better,5999844150,9657680433,1,0.4413258897121085,0.07060609,0.2427292393416597,0.014121219,0.6130214709475814,0.5226189074777214,187.99103922916265,True,True,72.0,73.0,1.0
better,5999844155,1927153426,0,0.4413258897121085,0.07186158,0.2427292393416597,0.014372316,0.5961139146235219,0.5087385255219731,465.3863234190438,True,True,76.0,76.0,0.0
better,5999844156,5999844155,0,0.4413258897121085,0.07159144,0.2427292393416597,0.014318287,0.5174409507736478,0.4431326984551975,85.7669531963083,True,True,93.0,92.0,-1.0
better,5999844157,6483273527,0,0.4413258897121085,0.07509163,0.2427292393416597,0.015018326,0.5779723280584429,0.49415887841877126,312.82296739189326,True,True,82.0,82.0,0.0
better,5999844174,5445931869,0,0.3455101246933897,0.039768286,0.19003056858136436,0.007953658,0.5484134813823134,0.4636392821601555,165.86272903964192,True,True,88.0,88.0,0.0
better,5999844181,5999844174,0,0.3455101246933897,0.038697712,0.19003056858136436,0.0077395425,0.5459626221108678,0.4614184704462888,269.4239078011436,True,True,89.0,89.0,0.0
better,6261201162,278376560,0,0.7640812793405851,0.05500943,0.42024470363732186,0.011001886,0.8118450394301442,0.6857057709270739,42.3336474748466,True,True,5.0,5.0,0.0
better,6261201167,5444683922,0,0.7640812793405851,0.0565909,0.42024470363732186,0.01131818,0.7400079806156907,0.6261051338172584,967.7675361898937,True,True,38.0,42.0,4.0
better,6366993022,9105636905,0,0.7105683587101466,0.09232495,0.39081259729058065,0.01846499,0.777190814457897,0.6630465036817422,55.69085579405692,True,False,23.0,19.0,-4.0
better,6366993029,8349563471,0,0.8577746446851414,0.057199303,0.4717760545768278,0.011439861,0.812944113352602,0.68698664497063,726.6127954588002,False,True,4.0,4.0,0.0
better,6483273527,5999844156,0,0.4413258897121085,0.07345109,0.2427292393416597,0.014690218,0.5324009307970794,0.4559092901440289,373.58598116071977,True,True,91.0,91.0,0.0
better,6897212454,2297484475,0,0.8577746446851414,0.056416932,0.4717760545768278,0.0112833865,0.8410208314131704,0.7102535149265501,29.381488276611428,False,True,2.0,2.0,0.0
better,6897212455,4802241932,0,0.7841430858837557,0.06772907,0.43127869723606566,0.013545814,0.7327548654796909,0.6219172330301861,398.46220736426517,False,True,44.0,44.0,0.0
better,8328137574,12105698519,0,0.7344793010919004,0.07274589,0.4039636156005453,0.014549178,0.7732106283956639,0.6564665052339329,94.02897696284978,True,True,26.0,27.0,1.0
better,8328222781,9608119122,0,0.7344793010919004,0.082657576,0.4039636156005453,0.016531516,0.6886722141038832,0.5876697743544528,643.3056729392302,True,True,58.0,58.0,0.0
better,8328222806,8328222781,0,0.7344793010919004,0.07367007,0.4039636156005453,0.014734014,0.7711531986254528,0.6549060100033942,108.77870205640023,True,True,29.0,29.0,0.0
better,8349563471,2297481839,0,0.8577746446851414,0.058945347,0.4717760545768278,0.0117890695,0.742905933824622,0.6289125026244615,43.97523419464021,False,True,37.0,37.0,0.0
better,8349563474,6897212454,0,0.8577746446851414,0.05881321,0.4717760545768278,0.011762642,0.7392432816703877,0.6258382698214519,395.38876852513073,False,True,40.0,43.0,3.0
