u,v,length,shortest_cost,risk_cost,trusted_cost
499237416,1491845137,124.3524492059274,124.3524492059274,594.9428184378723,626.4020817817932
499237442,499256522,177.07299070839562,177.07299070839562,789.3618577979662,1062.4379442503737
499237442,7232025523,478.7699775224623,478.7699775224623,2324.8867938250155,2872.6198651347736
499237442,1491845252,532.3167599982368,532.3167599982368,2563.2255589720694,2937.000475532582
499237746,9222802801,42.92107577446966,42.92107577446966,194.78721837221227,257.5264546468179
499237746,8167985658,73.10215590752566,73.10215590752566,331.41268327789857,398.51414010213483
499237746,8289756747,58.467710168888054,58.467710168888054,263.58812796113824,350.8062610133283
499237756,1116469196,102.72885142526637,102.72885142526637,477.68080138054006,616.3731085515982
499237756,7899265503,137.39160386377594,137.39160386377594,633.313370029063,824.3496231826557
499237756,9222802801,9.634864687085017,9.634864687085017,44.89870613342332,57.8091881225101
499237864,499237908,506.9296123492197,506.9296123492197,2355.7649129586102,3041.5776740953183
499237864,499237881,186.97906821744476,186.97906821744476,883.9862378459112,1121.8744093046685
499237908,10727765858,196.90263054279828,196.90263054279828,907.9167680224915,1181.4157832567896
499256255,1116467143,106.64275790322561,106.64275790322561,443.2871727522393,639.8565474193537
499256255,1114538642,48.34424939086295,48.34424939086295,223.43663193514806,290.0654963451777
499256255,1114538647,35.86489500202154,35.86489500202154,160.56042648662262,215.18937001212925
499256522,499374765,173.9926855162691,173.9926855162691,750.3618987726052,1043.9561130976144
499256522,499281680,50.53252697898592,50.53252697898592,219.64611046435823,303.19516187391554
499256749,499281585,54.60066456717667,54.60066456717667,233.9225789387894,327.60398740306005
499256749,499281680,226.08807072974653,226.08807072974653,1025.4068572897972,1356.5284243784793
499256749,2530287138,62.79741156902672,62.79741156902672,202.2876458201758,376.7844694141603
499256795,1982884398,37.311210946983074,37.311210946983074,154.7593324014184,223.86726568189846
499256795,499281479,42.776189386133254,42.776189386133254,173.8257120179827,256.65713631679955
499256795,2530287138,348.8603410019994,348.8603410019994,1026.3295246962743,2093.1620460119966
499264828,499264853,53.22184274452425,53.22184274452425,250.87212813130006,264.3364384624625
499264828,6410193821,213.53476183718894,213.53476183718894,974.5935050019257,1164.4687526788416
499264853,6410193883,121.76789584514626,121.76789584514626,572.2507767717866,603.0561877362613
499264853,499264939,94.30746681411146,94.30746681411146,422.614964728929,519.9540837763549
499264939,6410193821,102.37787699650627,102.37787699650627,443.4638568600408,614.2672619790376
499264939,499281804,215.28284165206804,215.28284165206804,934.1714251733248,1291.6970499124081
499265789,499281499,213.95468978309174,213.95468978309174,909.6533152755128,1283.7281386985505
499265789,1491845278,104.26900296863597,104.26900296863597,486.07346380902436,625.6140178118159
499265789,6410193883,102.89679067032127,102.89679067032127,469.44763487997204,559.6672796154328
499281470,499281479,53.00345964521145,53.00345964521145,224.3784956780465,318.0207578712687
499281470,499281804,103.88299101526205,103.88299101526205,452.67907109886755,623.2979460915723
499281470,499281585,136.87674774616374,136.87674774616374,571.4044661944871,821.2604864769825
499281479,499281866,218.2410066747683,218.2410066747683,961.9645662728287,1309.4460400486098
499281499,499281585,94.35366681807122,94.35366681807122,383.43970695562757,566.1220009084273
499281499,499281680,123.74051779909512,123.74051779909512,533.9456302122487,742.4431067945707
499281804,499281866,101.90186543880094,101.90186543880094,461.8309073220892,611.4111926328056
499281866,6410193851,81.62192136315865,81.62192136315865,372.72650194232983,489.73152817895186
